married,hourly_wage,years_in_education,years_in_employment,num_dependents,gender,race
1,3.24,12,2,3,female,white
0,3,11,0,2,male,white
1,6,8,28,0,male,white
1,5.3,12,2,1,male,white
1,8.75,16,8,0,male,white
0,11.25,18,7,0,male,white
0,5,12,3,0,female,white
0,3.6,12,4,2,female,white
1,18.18,17,21,0,male,white
0,6.25,16,2,0,female,white
0,8.13,13,0,0,female,white
1,8.77,12,0,2,male,white
0,5.5,12,3,0,male,white
1,22.2,12,15,1,male,white
1,17.33,16,0,1,male,white
1,7.5,12,0,0,female,white
0,10.63,13,10,0,female,
1,3.6,12,0,3,female,white
1,4.5,12,6,0,female,white
0,6.88,12,4,0,female,white
1,8.48,12,13,3,male,white
0,6.33,16,9,0,female,white
0,0.53,12,1,0,female,white
0,6,11,8,0,female,nonwhite
1,9.56,16,3,1,male,nonwhite
1,7.78,16,10,1,male,white
1,12.5,16,0,0,male,white
1,12.5,15,0,2,male,
1,3.25,8,1,2,female,white
1,13,14,5,2,male,white
0,4.5,14,5,2,female,white
0,9.68,13,16,0,female,white
0,5,12,3,0,female,white
0,,12,0,0,female,white
1,4.27,16,4,1,female,nonwhite
1,6.15,12,6,1,female,nonwhite
1,3.51,4,15,5,male,white
1,3,14,3,0,female,white
0,6.25,12,0,0,female,white
1,7.81,12,0,0,female,white
1,10,12,5,4,female,nonwhite
1,4.5,14,,1,female,white
1,4,11,12,0,female,white
0,6.38,13,4,0,female,white
1,13.7,15,13,2,male,white
0,1.67,10,0,1,male,white
1,2.93,12,2,1,female,white
0,3.65,14,2,0,male,white
1,2.9,12,1,2,female,white
0,1.63,12,0,2,female,white
0,8.6,16,2,0,female,white
1,5,12,5,1,male,white
1,6,12,7,0,,white
0,2.5,12,0,2,male,white
0,3.25,15,0,1,male,white
0,3.4,16,1,1,female,white
0,10,8,0,0,male,nonwhite
0,21.63,18,8,0,female,white
0,4.38,16,0,0,male,white
0,,13,20,0,female,white
0,12.39,14,5,0,male,white
0,6.25,10,8,0,male,white
0,3.71,10,,4,female,nonwhite
0,7.78,14,3,0,male,white
1,19.98,14,23,2,male,white
1,6.25,16,4,3,female,nonwhite
1,10,12,3,3,male,white
1,5.71,16,5,1,male,white
0,2,12,2,4,female,white
0,5.71,16,0,0,female,white
1,13.08,17,2,3,male,nonwhite
1,4.91,12,8,2,male,white
1,2.91,12,34,2,female,white
1,3.75,12,0,0,female,white
1,11.9,13,19,2,male,white
1,4,12,0,1,female,white
0,3.1,12,1,1,female,white
1,8.45,12,13,4,male,white
1,7.14,18,0,2,male,white
1,4.5,9,5,4,male,white
0,4.65,16,1,0,male,white
0,2.9,10,0,1,female,white
0,6.67,12,5,0,male,white
0,3.5,12,2,1,female,nonwhite
1,3.26,12,3,1,female,white
1,3.25,12,0,1,female,white
0,8,12,4,1,female,white
1,9.85,8,24,2,male,nonwhite
1,7.5,12,7,1,male,white
1,5.91,12,6,2,male,white
1,11.76,14,39,0,male,white
0,3,12,0,2,female,white
0,4.81,12,0,0,female,white
0,6.5,12,1,0,female,white
1,4,9,1,1,female,white
0,3.5,13,0,1,male,white
1,13.16,12,22,0,male,white
1,4.25,14,2,2,male,white
0,3.5,12,0,0,male,white
0,5.13,15,,,female,white
1,3.75,12,0,3,female,white
1,4.5,12,12,0,female,white
0,7.63,12,4,0,female,white
1,15,14,7,1,male,nonwhite
1,6.85,15,3,2,female,white
1,13.33,12,11,2,male,white
0,6.67,12,10,0,male,white
0,2.53,12,0,0,female,white
1,9.8,17,0,0,male,white
1,3.37,11,12,0,male,white
1,24.98,,25,0,male,white
1,5.4,12,3,0,male,white
1,6.11,14,0,2,male,white
1,4.2,14,16,0,female,white
0,3.75,10,0,0,male,white
1,3.5,14,0,0,female,white
0,3.64,12,2,0,male,white
1,3.8,15,1,1,male,white
1,3,8,12,3,female,white
1,5,16,1,0,female,white
1,4.63,14,0,2,female,white
0,3,15,0,0,male,white
0,3.2,12,0,1,female,white
1,3.91,18,3,2,male,white
1,6.43,16,3,2,female,white
1,5.48,10,3,0,female,white
0,1.5,8,30,0,male,white
0,2.9,10,2,2,female,white
1,5,11,1,0,male,white
1,8.92,18,3,0,male,white
0,5,15,0,0,male,white
1,3.52,12,1,0,male,white
0,2.9,11,0,1,female,white
1,4.5,12,0,3,male,white
0,2.25,12,0,2,female,
1,5,14,5,4,male,white
1,10,16,3,2,male,nonwhite
1,3.75,2,13,0,male,white
1,10,14,11,0,female,white
1,10.95,16,20,4,male,white
,7.9,12,0,0,male,white
0,4.72,12,1,0,female,white
1,5.84,13,0,1,female,white
0,3.83,12,2,3,female,white
0,3.2,15,2,2,female,white
0,2,10,0,5,female,nonwhite
1,4.5,12,4,3,female,white
1,11.55,16,5,3,female,white
1,,13,15,0,female,nonwhite
0,2.38,9,0,5,male,nonwhite
0,3.75,12,0,1,male,white
0,5.52,13,3,0,male,white
1,6.5,12,5,0,female,white
0,3.1,12,2,1,female,white
1,10,14,5,2,male,white
1,6.63,16,0,0,male,white
1,10,16,2,0,male,white
0,2.31,9,1,5,female,white
0,6.88,18,4,0,male,white
0,2.83,10,0,4,male,white
0,3.13,10,0,1,female,white
1,8,13,5,1,male,white
1,4.5,12,4,0,female,white
0,8.65,18,1,0,female,white
0,2,13,6,0,female,white
1,4.75,12,2,0,female,white
1,6.25,13,5,1,female,white
1,6,13,0,2,male,white
1,15.38,13,21,2,male,white
0,14.58,18,7,0,female,white
0,12.5,12,1,0,male,white
1,5.25,12,10,2,female,white
0,2.17,13,4,1,female,white
0,7.14,12,5,0,female,white
1,6.22,12,9,1,female,white
1,9,12,5,0,female,white
1,10,14,4,0,male,white
1,5.77,10,3,0,male,white
1,4,12,11,2,female,white
1,8.75,16,2,1,male,white
0,6.53,16,2,0,female,white
0,7.6,12,11,0,female,white
0,5,14,0,0,male,white
0,5,12,11,0,female,white
1,21.86,12,16,3,male,white
1,8.64,12,8,0,male,
1,3.3,12,8,1,male,white
0,4.44,12,0,,male,white
1,4.55,12,0,0,male,white
1,3.5,12,6,0,female,nonwhite
1,6.25,16,2,1,male,white
1,3.85,16,0,0,male,white
1,6.18,14,3,0,female,white
0,2.91,11,0,3,female,white
0,6.25,16,1,0,female,nonwhite
1,6.25,12,0,0,female,white
1,9.05,12,2,3,male,white
1,10,17,3,0,male,white
1,11.11,12,8,0,male,white
1,6.88,12,19,3,male,white
0,8.75,16,2,0,male,nonwhite
1,10,8,0,0,male,white
1,3.05,12,0,2,,white
1,3,12,0,0,female,white
1,5.8,12,6,2,female,white
1,4.1,16,0,0,female,white
1,8,12,2,1,male,white
0,6.15,12,12,,female,white
0,2.7,9,0,1,female,white
0,2.75,13,2,1,female,white
1,3,16,10,0,female,white
0,,14,2,0,female,white
1,7.36,8,24,3,male,white
1,7.5,14,24,1,male,white
0,3.5,13,2,3,male,white
1,8.1,12,3,1,female,white
0,3.75,18,2,1,male,white
1,3.25,9,0,1,male,nonwhite
1,5.83,8,15,0,female,white
0,3.5,8,0,3,male,white
1,3.33,12,4,0,female,white
0,4,14,3,0,female,white
1,3.5,12,4,2,female,white
1,6.25,16,0,0,male,white
1,2.95,8,2,1,female,nonwhite
1,5.71,13,2,0,female,white
0,3,9,0,0,female,white
1,22.86,16,7,2,male,white
1,9,12,1,0,male,white
1,8.33,15,26,1,male,white
0,3,11,0,0,male,white
1,5.75,14,5,0,male,white
1,6.76,12,3,2,male,nonwhite
1,10,12,0,2,male,white
0,3,12,0,0,male,white
0,3.5,18,1,0,female,white
0,3.25,12,0,0,male,white
0,4,12,1,0,female,nonwhite
0,2.92,12,0,1,female,white
0,3.06,12,10,3,female,nonwhite
1,3.2,12,5,1,female,white
1,4.75,12,0,3,male,white
1,3,14,0,,female,white
1,18.16,16,7,1,male,white
0,3.5,12,0,2,female,white
0,4.11,14,0,0,male,white
0,1.96,11,3,0,female,nonwhite
0,4.29,12,0,0,female,white
0,3,10,0,0,male,white
1,6.45,12,6,0,male,white
1,5.2,6,13,0,male,nonwhite
0,4.5,13,2,0,female,nonwhite
1,3.88,12,3,3,male,white
0,3.45,10,0,2,female,white
0,10.91,12,23,0,male,white
1,4.1,14,0,0,female,white
0,3,13,1,0,male,white
1,5.9,12,7,2,male,nonwhite
0,18,18,0,0,female,white
0,4,12,0,0,male,white
0,3,12,0,0,male,nonwhite
1,3.55,12,0,1,female,white
,3,12,1,2,female,white
1,8.75,12,44,0,male,white
0,2.9,8,6,1,female,white
1,6.26,13,17,0,female,white
0,3.5,13,0,0,female,white
1,4.6,14,0,0,female,white
0,6,12,8,2,male,white
0,2.89,10,0,1,female,white
1,5.58,16,1,0,male,white
1,4,12,6,0,female,white
0,6,16,2,0,male,white
0,4.5,12,1,2,female,white
0,2.92,14,3,0,male,white
0,4.33,18,0,0,male,white
1,18.89,17,20,2,male,white
0,4.28,13,1,2,female,white
1,4.57,14,7,0,female,white
1,6.25,15,4,2,female,white
1,,14,23,0,male,nonwhite
0,8.75,12,1,0,male,white
0,,8,26,0,male,white
1,3.75,12,0,4,female,white
1,3.15,12,1,0,male,white
0,5,8,2,0,male,white
1,6.46,12,0,3,male,white
0,2,9,0,3,male,white
1,4.79,12,8,0,male,white
1,5.78,16,4,2,male,white
1,3.18,12,0,0,female,white
0,4.68,16,1,0,female,white
0,4.1,12,2,0,female,white
1,2.91,12,0,0,male,white
1,6,13,13,4,male,white
1,3.6,10,26,0,female,white
1,3.95,6,6,6,male,white
1,7,12,5,1,male,nonwhite
1,3,12,9,0,female,white
0,6.08,16,0,0,male,white
1,8.63,12,9,1,male,white
1,3,8,2,0,male,white
1,3.75,12,2,1,female,white
1,2.9,6,7,0,male,white
1,3,4,0,0,male,nonwhite
1,6.25,11,31,0,male,white
0,3.5,11,2,2,female,nonwhite
0,3,7,1,3,female,white
1,3.24,12,0,2,female,white
1,8.02,18,3,1,female,white
1,3.33,12,8,1,female,white
0,5.25,16,0,0,male,white
1,6.25,12,0,3,male,white
1,3.5,14,2,1,male,white
0,2.95,12,1,1,male,white
1,3,10,,2,female,white
0,4.69,10,7,0,male,white
0,3.73,9,2,1,female,white
1,4,10,12,,male,white
1,4,12,0,2,female,white
1,2.9,12,1,2,female,white
0,3.05,12,0,1,female,white
0,5.05,10,0,0,female,white
1,13.95,16,16,0,male,white
1,18.16,16,28,1,male,white
0,6.25,16,4,0,male,white
0,5.25,12,0,0,male,nonwhite
1,4.79,12,3,3,female,white
0,3.35,7,0,1,female,white
1,3,8,0,1,male,white
1,8.43,16,6,0,male,white
0,5.7,16,0,0,male,white
1,11.98,18,10,2,male,white
1,3.5,13,1,0,female,white
1,4.24,10,5,1,male,nonwhite
1,7,16,3,1,female,white
1,6,14,3,2,female,white
0,12.22,16,2,0,male,white
1,4.5,12,0,0,male,white
1,3,9,20,2,female,white
0,2.9,11,2,2,male,nonwhite
1,15,11,31,0,male,white
1,4,12,2,0,male,white
1,5.25,11,11,2,male,white
1,4,12,3,3,male,white
1,3.3,12,9,2,female,white
1,5.05,12,0,3,female,white
0,3.58,12,0,0,male,white
1,5,14,5,2,male,white
1,4.57,14,0,0,male,white
0,12.5,18,2,0,male,white
1,3.45,12,5,0,female,white
0,4.63,12,1,0,female,white
1,10,12,2,0,male,white
0,2.92,11,0,1,female,white
0,4.51,12,2,0,male,white
1,6.5,17,0,0,male,white
1,7.5,16,0,0,male,white
1,3.54,13,7,0,female,white
1,4.2,13,,2,female,white
1,3.51,12,2,0,female,white
1,4.5,14,0,0,male,white
1,3.35,14,4,0,female,white
0,2.91,11,2,2,male,
1,5.25,10,7,1,male,white
1,4.05,,25,0,male,white
1,3.75,14,0,3,female,white
1,3.4,12,15,1,female,white
0,3,10,1,1,female,white
1,6.29,17,3,1,male,white
0,2.54,9,0,1,female,white
1,4.5,12,0,1,female,white
1,3.13,12,5,1,female,white
1,6.36,14,1,0,male,white
0,4.68,16,0,0,male,white
1,6.8,12,10,2,male,white
1,8.53,10,6,0,male,white
0,4.17,0,10,0,female,white
1,3.75,14,4,0,female,white
0,11.1,15,4,2,female,white
1,3.26,16,5,2,female,nonwhite
1,9.13,12,12,3,male,white
,4.5,11,10,2,male,white
0,3,11,1,1,female,
1,8.75,12,4,0,male,white
1,4.14,13,0,0,female,white
1,2.87,12,8,0,female,white
0,3.35,13,0,2,female,white
0,6.08,16,10,0,male,white
0,3,15,0,0,male,nonwhite
1,4.2,16,0,1,female,white
0,5.6,15,15,2,female,white
1,10,12,24,0,male,white
1,12.5,18,5,1,male,white
0,3.76,6,0,4,male,white
0,3.1,6,0,5,female,nonwhite
1,4.29,12,25,2,female,white
1,10.92,12,5,0,male,white
1,7.5,16,2,1,female,white
1,4.05,9,4,1,female,white
1,4.65,12,2,3,male,white
1,5,11,5,0,male,white
1,2.9,10,0,2,female,white
0,8,12,3,1,female,nonwhite
1,8.43,8,3,3,male,white
0,2.92,9,0,0,female,white
0,6.25,17,0,0,female,white
1,6.25,16,2,2,female,white
0,5.11,11,0,0,male,white
0,4,10,0,1,female,white
1,4.44,8,11,3,male,
1,6.88,13,21,0,male,white
1,5.43,14,3,1,male,nonwhite
0,3,13,0,1,female,white
0,2.9,11,0,2,female,white
1,6.25,7,21,0,male,nonwhite
0,4.34,16,2,0,female,nonwhite
1,3.25,12,2,2,female,white
0,7.26,13,2,0,male,white
1,6.35,14,1,2,female,white
1,5.63,16,2,0,male,white
1,8.75,14,3,1,male,white
0,3.2,11,0,0,male,white
1,3,8,1,0,female,white
1,3,14,3,0,female,white
1,12.5,17,18,3,male,white
0,2.88,10,0,3,female,white
1,3.35,12,1,0,male,white
1,6.5,12,2,0,male,white
1,10.38,18,2,1,male,nonwhite
1,4.5,14,0,0,male,white
0,10,18,8,0,male,white
1,3.81,12,1,2,female,white
1,8.8,16,1,0,male,white
1,9.42,14,0,2,female,white
1,6.33,12,8,2,male,white
0,4,9,18,0,male,nonwhite
1,2.9,12,0,0,female,
1,20,12,4,1,male,white
1,11.25,17,25,1,male,white
0,3.5,12,0,2,female,nonwhite
1,6,15,4,2,female,white
1,14.38,17,9,1,male,nonwhite
1,6.36,16,0,1,male,white
1,3.55,12,0,1,female,white
1,3,15,0,0,male,white
1,4.5,16,10,1,male,
0,6.63,12,0,0,female,white
1,9.3,15,,0,male,white
1,3,12,0,2,female,white
0,3.25,12,2,0,female,white
1,1.5,12,1,2,female,white
1,5.9,12,7,1,female,white
0,8,16,4,0,male,white
0,2.9,11,0,1,female,white
0,3.29,14,13,0,male,white
1,6.5,14,33,0,male,white
0,4,13,0,1,female,white
1,6,14,0,0,male,white
1,4.08,12,17,0,female,white
1,3.75,12,2,0,female,white
0,3.05,8,24,0,female,white
1,3.5,12,20,0,female,white
0,2.92,3,30,0,male,nonwhite
0,4.5,11,9,0,male,white
1,3.35,15,1,2,female,white
1,5.95,11,9,1,male,nonwhite
1,8,12,6,2,male,white
1,3,4,0,1,male,white
1,5,9,9,6,male,nonwhite
1,5.5,12,4,1,male,
1,2.65,12,10,0,female,white
0,3,11,0,2,female,white
1,4.5,12,14,0,female,white
1,17.5,16,22,3,male,white
0,8.18,13,5,0,male,white
1,9.09,15,12,1,male,white
1,11.82,,13,0,male,white
1,3.25,12,0,0,female,white
0,4.5,12,0,0,male,white
1,4.5,12,0,0,male,white
1,3.71,9,7,2,male,white
1,6.5,10,11,3,male,white
1,2.9,12,1,0,female,white
1,5.6,11,8,2,male,white
1,2.23,8,3,4,male,white
1,5,6,0,3,female,white
1,8.33,16,2,0,male,white
0,2.9,12,1,4,female,white
1,6.25,12,6,3,male,white
1,4.55,16,2,0,male,white
0,3.28,12,2,0,female,white
0,,10,0,4,female,white
0,3.3,13,0,0,female,white
0,3.15,13,0,4,,white
1,12.5,14,30,0,male,white
0,5.15,16,21,0,female,white
0,3.13,10,1,2,male,white
1,7.25,12,5,3,,white
0,2.9,12,2,0,female,white
0,1.75,11,1,2,male,white
1,2.89,0,0,2,female,white
1,2.9,5,0,5,female,white
1,17.71,16,3,1,male,white
1,6.25,16,3,0,male,white
0,2.6,9,0,1,male,white
1,6.63,15,3,2,female,white
0,3.5,12,3,1,female,nonwhite
1,6.5,12,14,3,male,white
0,3,12,1,0,female,nonwhite
1,4.38,13,0,1,male,nonwhite
0,10,12,0,1,male,white
1,4.95,7,17,5,male,white
1,9,17,0,2,female,white
1,1.43,12,0,2,female,white
0,3.08,12,1,0,male,white
1,9.33,14,11,3,male,white
1,7.5,12,5,2,male,white
1,4.75,13,1,0,male,white
0,5.65,12,0,0,male,white
1,15,16,2,2,female,white
0,2.27,10,0,3,female,white
1,4.67,15,18,3,male,white
1,11.56,16,1,0,male,white
0,,14,4,2,female,nonwhite
